##########################################################################
# Общие Альтрасские ивенты
##########################################################################
namespace = flavor_alr
	mean_time_to_happen = {
		months = 1500
		
		modifier = {
			factor = 1.25
			has_country_flag = had_fa10_event
		}
	}
	
	immediate = {
		hidden_effect = {
			set_country_flag = had_fa10_event
		}
	}
	
	option = {
		name = flavor_alr.10.a
		ai_chance = {
			factor = 50
		}
		set_global_flag = kaydgedanate_revolt
		every_country = {
			limit = { government = altras_enzelkhanate }
			add_opinion = {
				who = ROOT
				modifier = sm_altras_danger
			}
			ROOT = {
				form_coalition_against = PREV
			}
		}
		every_owned_province = {
			limit = {
				has_province_flag = kaydgedanate_capital
			}
			cede_province = AL1
		}
		create_alliance = AL1
		hidden_effect = {
			AL1 = {
				change_government = altras_horde
			}
			every_country = {
				limit = {
					government = altras_ulus
				}
				country_event = {
					id = flavor_alr.11
				}
			}
		}
	}
	
	option = {
		name = flavor_alr.10.b
		ai_chance = {
			factor = 50
			
			modifier = {
				factor = 10
				any_country = {
					government = altras_enzelkhanate
					ROOT = {
						has_opinion = {
							who = PREV
							value = 25
						}
					}
				}
			}
		}
		every_country = {
			limit = { government = altras_enzelkhanate }
			add_opinion = {
				who = ROOT
				modifier = opinion_pleased
			}
		}
	}
}

country_event = {
	id = flavor_alr.11
	title = flavor_alr.10.t
	desc = flavor_alr.10.d
	picture = NOMAD_ESTATE_eventPicture
	
	is_triggered_only = yes
	
	immediate = {
		hidden_effect = {
			set_country_flag = had_fa11_event
		}
	}
	
	option = {
		name = flavor_alr.10.a
		every_country = {
			limit = {
				government = altras_enzelkhanate
			}
			ROOT = {
				form_coalition_against = PREV
			}
		}
	}
	
	option = {
		name = flavor_alr.11.b
		form_coalition_against = AL1
	}
}

# Объявление войны
country_event = {
	id = flavor_alr.12
	title = flavor_alr.12.t
	desc = flavor_alr.12.d
	picture = HORDE_ON_HORSEBACK_eventPicture
	
	hidden = yes
	
	trigger = {
		OR = {
			tag = AL1
			government = altras_enzelkhanate
		}
		NOT = { has_global_flag = altras_civil_war }
	}
	
	mean_time_to_happen = {
		days = 7
		
		modifier = {
			factor = 0.5
			ai = no
		}
	}
	
	option = {
		name = flavor_alr.3.a
		hidden_effect = {
			if = {
				limit = {
					tag = AL1
				}
				every_country = {
					limit = { government = altras_enzelkhanate }
					ROOT = {
						declare_war_with_cb = {
							who = PREV
							casus_belli = cb_civil_war
						}
					}
				}
			}
			if = {
				limit = {
					government = altras_enzelkhanate
				}
				declare_war_with_cb = {
					who = AL1
					casus_belli = cb_civil_war
				}
			}
			set_global_flag = altras_civil_war
			AL1 = {
				add_country_modifier = {
					name = civil_war_nation
					duration = -1
				}
				set_country_flag = only_ideological_nation
			}
			every_country = {
				limit = { government = altras_enzelkhanate }
				add_country_modifier = {
					name = civil_war_nation
					duration = -1
				}
			}
		}
	}
}

country_event = {
	id = flavor_alr.13
	title = flavor_alr.13.t
	desc = flavor_alr.13.d
	picture = NOMAD_ESTATE_eventPicture
	
	major = yes
	
	is_triggered_only = yes
	
	option = {
		name = flavor_alr.13.a
		change_government = feudal_monarchy
		hidden_effect = {
			every_subject_country = {
				country_event = { id = flavor_alr.3 days = 3 }
			}
		}
	}
}
